lab,subid,subid_unique,trial_order,trial_num,stimulus_num,method,age_days,age_mo,age_group,nae,gender,second_session,missing,parenta_gender,parentb_gender,parenta_education,parentb_education,bilingual_nae,lang2,lang3,lang4,bilingual_parenta_nae,bilingual_parentb_nae,bilingual_interview_lang,lang_group,SES,nae_exp,trial_error,session_error,lang1,lang1_exposure,lang2_exposure,lang3_exposure,lang4_exposure,pilot,bilingual_exposure,comm_lang_learn,monolingual_exposure,td,full_term,session_error_type_recoded,trial_error_recoded,out_of_age,ADS,IDS,diff,lab_age_lang
babylabbrookes,mb03_babylabbrookes,babylabbrookes:mb03,3,1,5,singlescreen,214,7.030800821355236,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,20,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32,9.33,5.01,babylabbrookes monolingual 6-9 mo
babylabbrookes,mb04_babylabbrookes,babylabbrookes:mb04,4,1,5,singlescreen,271,8.903490759753593,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.47,7.79,-5.680000000000001,babylabbrookes monolingual 6-9 mo
babylabbrookes,mb100_babylabbrookes,babylabbrookes:mb100,2,1,1,singlescreen,419,13.765913757700206,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.344,6.152,0.8079999999999998,babylabbrookes monolingual 12-15 mo
babylabbrookes,mb103_babylabbrookes,babylabbrookes:mb103,2,1,1,singlescreen,368,12.09034907597536,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,18,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.601,8.2,-6.401000000000002,babylabbrookes monolingual 12-15 mo
babylabbrookes,mb104_babylabbrookes,babylabbrookes:mb104,4,1,5,singlescreen,402,13.207392197125257,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,16,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.744,3.264,-6.48,babylabbrookes monolingual 12-15 mo
babylabbrookes,mb14_babylabbrookes,babylabbrookes:mb14,2,1,1,singlescreen,406,13.338809034907598,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,12,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.26,18,6.74,babylabbrookes monolingual 12-15 mo
babylabbrookes,mb15_babylabbrookes,babylabbrookes:mb15,3,1,5,singlescreen,445,14.620123203285422,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,18,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,0,babylabbrookes monolingual 12-15 mo
babylabbrookes,mb18_babylabbrookes,babylabbrookes:mb18,2,1,1,singlescreen,392,12.878850102669405,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,16,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.89,7.98,2.0900000000000007,babylabbrookes monolingual 12-15 mo
babylabbrookes,mb20_babylabbrookes,babylabbrookes:mb20,4,1,5,singlescreen,424,13.930184804928132,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,12,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.19,11.85,0.6600000000000001,babylabbrookes monolingual 12-15 mo
babylabbrookes,mb28_babylabbrookes,babylabbrookes:mb28,1,1,1,singlescreen,395,12.97741273100616,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,18,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68,13.35,7.67,babylabbrookes monolingual 12-15 mo
